#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACAA2	ZFR	9606.ENSP00000285093	9606.ENSP00000265069	0	0	0	0	0	0.458	0	0	0.457
ACAA2	UCHL3	9606.ENSP00000285093	9606.ENSP00000366819	0	0	0	0	0.057	0.741	0	0	0.745
ATP5J	NEDD8	9606.ENSP00000389649	9606.ENSP00000250495	0	0	0	0	0.393	0	0	0.090	0.424
ATP5J	ATP6V1A	9606.ENSP00000389649	9606.ENSP00000273398	0	0	0	0	0.077	0	0.720	0.277	0.797
ATP5J	PRDX3	9606.ENSP00000389649	9606.ENSP00000298510	0	0	0	0	0.212	0.272	0	0.371	0.608
ATP5J	BAG6	9606.ENSP00000389649	9606.ENSP00000365131	0	0	0	0	0	0	0	0.729	0.729
ATP6V1A	PRDX4	9606.ENSP00000273398	9606.ENSP00000368646	0	0	0	0	0.070	0.400	0	0	0.418
ATP6V1A	PRDX3	9606.ENSP00000273398	9606.ENSP00000298510	0	0	0	0	0.121	0.537	0	0.142	0.620
ATP6V1A	ATP6V1B2	9606.ENSP00000273398	9606.ENSP00000276390	0.219	0	0.448	0.584	0.844	0.985	0.800	0.905	0.999
ATP6V1B2	PRDX3	9606.ENSP00000276390	9606.ENSP00000298510	0	0	0	0	0.068	0.348	0	0.103	0.408
ATP6V1B2	YWHAG	9606.ENSP00000276390	9606.ENSP00000306330	0	0	0	0	0.134	0.114	0	0.356	0.463
CAPRIN1	NUFIP2	9606.ENSP00000340329	9606.ENSP00000225388	0	0	0	0	0.085	0.402	0	0.396	0.641
CIRBP	RBM25	9606.ENSP00000466897	9606.ENSP00000261973	0	0	0	0	0.088	0.403	0	0.248	0.555
CTNNB1	NONO	9606.ENSP00000344456	9606.ENSP00000276079	0	0	0	0	0.066	0.314	0	0.445	0.613
CTNNB1	YWHAG	9606.ENSP00000344456	9606.ENSP00000306330	0	0	0	0	0.085	0.058	0.900	0.230	0.924
CTNNB1	SOD2	9606.ENSP00000344456	9606.ENSP00000446252	0	0	0	0	0	0	0	0.403	0.403
CTNNB1	XRCC6	9606.ENSP00000344456	9606.ENSP00000352257	0	0	0	0	0	0.110	0	0.467	0.506
CTSD	LRP1	9606.ENSP00000236671	9606.ENSP00000243077	0	0	0	0	0.088	0	0	0.438	0.466
CTSD	NUCB1	9606.ENSP00000236671	9606.ENSP00000385923	0	0	0	0	0.693	0	0	0.107	0.714
KLC1	NUFIP2	9606.ENSP00000414982	9606.ENSP00000225388	0	0	0	0	0	0	0	0.482	0.482
MAP4	SEPT9	9606.ENSP00000353375	9606.ENSP00000391249	0	0	0	0	0	0.062	0	0.402	0.415
